date,usd_rate,usd_ffill
2020-01-01,1157.8,True
2020-01-02,1157.8,False
2020-01-03,1156.9,False
2020-01-04,1162.7,True
2020-01-05,1162.7,True
2020-01-06,1162.7,False
2020-01-07,1169.6,False
2020-01-08,1165.3,False
2020-01-09,1174.1,False
2020-01-10,1160.0,False
2020-01-11,1161.1,True
2020-01-12,1161.1,True
2020-01-13,1161.1,False
2020-01-14,1155.7,False
2020-01-15,1153.1,False
2020-01-16,1158.8,False
2020-01-17,1159.6,False
2020-01-18,1158.8,True
2020-01-19,1158.8,True
2020-01-20,1158.8,False
2020-01-21,1158.8,False
2020-01-22,1164.7,False
2020-01-23,1165.1,False
2020-01-24,1167.2,True
2020-01-25,1167.2,True
2020-01-26,1167.2,True
2020-01-27,1167.2,True
2020-01-28,1167.2,False
2020-01-29,1176.7,False
2020-01-30,1176.0,False
2020-01-31,1183.5,False
2020-02-01,1187.8,True
2020-02-02,1187.8,True
2020-02-03,1187.8,False
2020-02-04,1196.0,False
2020-02-05,1189.4,False
2020-02-06,1188.5,False
2020-02-07,1181.4,False
2020-02-08,1187.2,True
2020-02-09,1187.2,True
2020-02-10,1187.2,False
2020-02-11,1189.8,False
2020-02-12,1184.1,False
2020-02-13,1179.8,False
2020-02-14,1181.5,False
2020-02-15,1183.5,True
2020-02-16,1183.5,True
2020-02-17,1183.5,False
2020-02-18,1182.2,False
2020-02-19,1188.1,False
2020-02-20,1190.8,False
2020-02-21,1197.0,False
2020-02-22,1205.6,True
2020-02-23,1205.6,True
2020-02-24,1205.6,False
2020-02-25,1217.7,False
2020-02-26,1212.7,False
2020-02-27,1216.8,False
2020-02-28,1215.9,False
2020-02-29,1215.3,True
2020-03-01,1215.3,True
2020-03-02,1215.3,False
2020-03-03,1200.3,False
2020-03-04,1191.4,False
2020-03-05,1186.4,False
2020-03-06,1185.0,False
2020-03-07,1191.4,True
2020-03-08,1191.4,True
2020-03-09,1191.4,False
2020-03-10,1201.4,False
2020-03-11,1196.7,False
2020-03-12,1192.8,False
2020-03-13,1202.0,False
2020-03-14,1222.2,True
2020-03-15,1222.2,True
2020-03-16,1222.2,False
2020-03-17,1219.6,False
2020-03-18,1241.2,False
2020-03-19,1237.8,False
2020-03-20,1280.1,False
2020-03-21,1254.1,True
2020-03-22,1254.1,True
2020-03-23,1254.1,False
2020-03-24,1274.6,False
2020-03-25,1256.0,False
2020-03-26,1230.7,False
2020-03-27,1227.9,False
